PV,Value
DIAG_MTCA01:PICO5_CH1:RNG0_EEGAIN_RD,2.2340734817660746e-10
DIAG_MTCA01:PICO5_CH1:RNG0_EEOFST_RD,-1.7521990969271428e-08
DIAG_MTCA01:PICO5_CH1:RNG1_EEGAIN_RD,5.88948985066895e-12
DIAG_MTCA01:PICO5_CH1:RNG1_EEOFST_RD,-4.427583022437176e-10
DIAG_MTCA01:PICO5_CH2:RNG0_EEGAIN_RD,2.2348177475262077e-10
DIAG_MTCA01:PICO5_CH2:RNG0_EEOFST_RD,1.43402978380891e-08
DIAG_MTCA01:PICO5_CH2:RNG1_EEGAIN_RD,5.8924150281303156e-12
DIAG_MTCA01:PICO5_CH2:RNG1_EEOFST_RD,3.8660405432544565e-10
DIAG_MTCA01:PICO5_CH3:RNG0_EEGAIN_RD,2.2339904925949838e-10
DIAG_MTCA01:PICO5_CH3:RNG0_EEOFST_RD,-1.8452110950306633e-08
DIAG_MTCA01:PICO5_CH3:RNG1_EEGAIN_RD,5.8899560576031185e-12
DIAG_MTCA01:PICO5_CH3:RNG1_EEOFST_RD,-4.760836169737104e-10
DIAG_MTCA01:PICO5_CH4:RNG0_EEGAIN_RD,2.2338371430397075e-10
DIAG_MTCA01:PICO5_CH4:RNG0_EEOFST_RD,-2.087611505885434e-08
DIAG_MTCA01:PICO5_CH4:RNG1_EEGAIN_RD,5.8847948215812185e-12
DIAG_MTCA01:PICO5_CH4:RNG1_EEOFST_RD,-5.529937063819546e-10
DIAG_MTCA01:PICO5_CH5:RNG0_EEGAIN_RD,2.2339116667602354e-10
DIAG_MTCA01:PICO5_CH5:RNG0_EEOFST_RD,-1.4997988628806525e-08
DIAG_MTCA01:PICO5_CH5:RNG1_EEGAIN_RD,5.884970462333161e-12
DIAG_MTCA01:PICO5_CH5:RNG1_EEOFST_RD,-3.7904665517451974e-10
DIAG_MTCA01:PICO5_CH6:RNG0_EEGAIN_RD,2.2346473282919277e-10
DIAG_MTCA01:PICO5_CH6:RNG0_EEOFST_RD,1.2930000181654577e-08
DIAG_MTCA01:PICO5_CH6:RNG1_EEGAIN_RD,5.890283920340078e-12
DIAG_MTCA01:PICO5_CH6:RNG1_EEOFST_RD,3.663901959605198e-10
DIAG_MTCA01:PICO5_CH7:RNG0_EEGAIN_RD,2.2342666605723593e-10
DIAG_MTCA01:PICO5_CH7:RNG0_EEOFST_RD,1.1664560872759466e-08
DIAG_MTCA01:PICO5_CH7:RNG1_EEGAIN_RD,5.88462178291449e-12
DIAG_MTCA01:PICO5_CH7:RNG1_EEOFST_RD,3.357281952443003e-10
DIAG_MTCA01:PICO6_CH0:RNG0_EEGAIN_RD,2.234459561822888e-10
DIAG_MTCA01:PICO6_CH0:RNG0_EEOFST_RD,-2.2847043368301456e-08
DIAG_MTCA01:PICO6_CH0:RNG1_EEGAIN_RD,5.889475539200273e-12
DIAG_MTCA01:PICO6_CH0:RNG1_EEOFST_RD,-6.011946496187193e-10
DIAG_MTCA01:PICO6_CH1:RNG0_EEGAIN_RD,2.2344964767384567e-10
DIAG_MTCA01:PICO6_CH1:RNG0_EEOFST_RD,-1.520301751156694e-08
DIAG_MTCA01:PICO6_CH1:RNG1_EEGAIN_RD,5.894190083927109e-12
DIAG_MTCA01:PICO6_CH1:RNG1_EEOFST_RD,-3.900194334161e-10
DIAG_MTCA01:PICO6_CH2:RNG0_EEGAIN_RD,2.2345936212531115e-10
DIAG_MTCA01:PICO6_CH2:RNG0_EEOFST_RD,-1.56269805984266e-08
DIAG_MTCA01:PICO6_CH2:RNG1_EEGAIN_RD,5.89512943668935e-12
DIAG_MTCA01:PICO6_CH2:RNG1_EEOFST_RD,-3.972246698236148e-10
DIAG_MTCA01:PICO6_CH3:RNG0_EEGAIN_RD,2.234765289488294e-10
DIAG_MTCA01:PICO6_CH3:RNG0_EEOFST_RD,-1.520823467160426e-08
DIAG_MTCA01:PICO6_CH3:RNG1_EEGAIN_RD,5.8933951468942425e-12
DIAG_MTCA01:PICO6_CH3:RNG1_EEOFST_RD,-3.8522041112543093e-10
DIAG_MTCA01:PICO6_CH4:RNG0_EEGAIN_RD,2.2344850969524543e-10
DIAG_MTCA01:PICO6_CH4:RNG0_EEOFST_RD,-2.4605656179232938e-08
DIAG_MTCA01:PICO6_CH4:RNG1_EEGAIN_RD,5.890635201843963e-12
DIAG_MTCA01:PICO6_CH4:RNG1_EEOFST_RD,-6.482056003065395e-10
DIAG_MTCA01:PICO6_CH5:RNG0_EEGAIN_RD,2.2350535311410624e-10
DIAG_MTCA01:PICO6_CH5:RNG0_EEOFST_RD,-8.630963499456357e-09
DIAG_MTCA01:PICO6_CH5:RNG1_EEGAIN_RD,5.89058923167185e-12
DIAG_MTCA01:PICO6_CH5:RNG1_EEOFST_RD,-2.2153746892517034e-10
DIAG_MTCA01:PICO6_CH6:RNG0_EEGAIN_RD,2.2342580563439185e-10
DIAG_MTCA01:PICO6_CH6:RNG0_EEOFST_RD,-2.2410679978435155e-09
DIAG_MTCA01:PICO6_CH6:RNG1_EEGAIN_RD,5.890081391374258e-12
DIAG_MTCA01:PICO6_CH6:RNG1_EEOFST_RD,-3.7617714498949795e-11
DIAG_MTCA01:PICO6_CH7:RNG0_EEGAIN_RD,2.2348617401135584e-10
DIAG_MTCA01:PICO6_CH7:RNG0_EEOFST_RD,-2.39634379006759e-09
DIAG_MTCA01:PICO6_CH7:RNG1_EEGAIN_RD,5.896113892261967e-12
DIAG_MTCA01:PICO6_CH7:RNG1_EEOFST_RD,-3.8936579654924586e-11
DIAG_MTCA01:PICO7_CH0:RNG0_EEGAIN_RD,2.2349672113008978e-10
DIAG_MTCA01:PICO7_CH0:RNG0_EEOFST_RD,8.165910614366112e-09
DIAG_MTCA01:PICO7_CH0:RNG1_EEGAIN_RD,5.895067420325084e-12
DIAG_MTCA01:PICO7_CH0:RNG1_EEOFST_RD,2.1521806559121615e-10
DIAG_MTCA01:PICO7_CH1:RNG0_EEGAIN_RD,2.23431065315971e-10
DIAG_MTCA01:PICO7_CH1:RNG0_EEOFST_RD,-1.011669681361127e-08
DIAG_MTCA01:PICO7_CH1:RNG1_EEGAIN_RD,5.8922688776774645e-12
DIAG_MTCA01:PICO7_CH1:RNG1_EEOFST_RD,-2.59267551872e-10
